,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
27,FSI_28,4,5,0,1,2,100,2,4,1,29/05/2020 ,3,4,25/07/2020 ,part time,chua co gia dinh,0,180,70,dang bi benh,khong,khong,xe may
28,FSI_29,5,2,3,5,2,90,0,3,1,27/05/2020 ,0,2,18/06/2020 ,part time,chua co gia dinh,2,160,40,dang bi benh,co,khong,xe may
29,FSI_30,3,0,5,1,2,70,3,0,1,24/07/2020 ,0,5,14/02/2020 ,nghi phep,co gia dinh,2,150,60,dang bi benh,co,khong,xe may
30,FSI_31,5,2,0,1,5,80,0,1,3,29/03/2020 ,1,0,07/11/2019 ,nghi phep,co gia dinh,1,180,40,khong bi benh,co,khong,bus
31,FSI_32,5,0,3,0,4,70,4,0,2,11/03/2020 ,2,0,04/05/2020 ,full time,co gia dinh,1,165,50,dang bi benh,khong,co,xe may
32,FSI_33,2,5,3,3,3,70,1,0,1,19/08/2020 ,4,0,14/06/2020 ,full time,chua co gia dinh,3,165,50,dang bi benh,co,khong,bus
33,FSI_34,2,3,0,2,2,90,4,3,3,21/08/2020 ,2,0,04/01/2020 ,full time,co gia dinh,0,170,60,khong bi benh,khong,co,xe may
34,FSI_35,0,5,5,0,5,70,0,2,1,12/06/2020 ,0,2,21/03/2020 ,nghi phep,co gia dinh,2,180,60,khong bi benh,co,co,xe may
35,FSI_36,3,4,0,1,0,100,0,0,2,08/02/2020 ,5,2,17/06/2020 ,nghi phep,co gia dinh,2,150,70,dang bi benh,khong,khong,oto
36,FSI_37,0,2,2,2,1,90,0,3,1,25/09/2019 ,0,1,29/09/2019 ,part time,chua co gia dinh,2,150,70,khong bi benh,co,khong,xe may
37,FSI_38,0,0,4,1,3,90,3,0,3,25/07/2020 ,0,5,04/12/2019 ,nghi phep,chua co gia dinh,2,180,70,khong bi benh,khong,khong,oto
38,FSI_39,5,3,0,0,5,70,1,3,2,30/12/2019 ,0,0,30/04/2020 ,full time,co gia dinh,1,160,60,dang bi benh,khong,co,xe may
39,FSI_40,0,4,1,3,0,90,1,5,2,27/04/2020 ,5,0,29/02/2020 ,full time,chua co gia dinh,1,150,60,dang bi benh,khong,khong,xe may
40,FSI_41,3,5,1,1,0,70,4,4,1,21/01/2020 ,3,2,30/06/2020 ,nghi phep,co gia dinh,1,175,50,dang bi benh,khong,co,oto
41,FSI_42,1,3,1,1,3,70,2,2,1,23/12/2019 ,4,4,05/03/2020 ,part time,co gia dinh,2,165,70,khong bi benh,khong,co,bus
42,FSI_43,4,0,1,0,1,80,4,0,2,24/11/2019 ,0,0,18/08/2020 ,nghi phep,co gia dinh,0,170,60,dang bi benh,co,co,xe may
43,FSI_44,5,5,0,5,0,70,1,0,1,24/05/2020 ,4,2,01/01/2020 ,nghi phep,co gia dinh,1,160,60,khong bi benh,khong,khong,xe may
44,FSI_45,5,3,3,1,4,90,2,3,1,29/03/2020 ,3,3,09/09/2019 ,full time,co gia dinh,0,180,70,khong bi benh,co,co,xe may
45,FSI_46,3,5,0,2,0,90,2,2,1,21/03/2020 ,2,2,28/04/2020 ,nghi phep,chua co gia dinh,2,170,70,dang bi benh,khong,khong,xe may
46,FSI_47,2,1,0,5,4,80,0,3,1,15/04/2020 ,4,4,19/02/2020 ,nghi phep,chua co gia dinh,0,150,50,khong bi benh,khong,khong,bus
47,FSI_48,0,2,1,2,3,100,4,3,1,14/02/2020 ,1,4,16/07/2020 ,full time,chua co gia dinh,0,170,50,dang bi benh,khong,khong,xe may
48,FSI_49,0,2,3,0,0,70,3,1,1,06/11/2019 ,0,4,19/02/2020 ,part time,co gia dinh,2,150,40,khong bi benh,co,khong,bus
49,FSI_50,1,2,0,4,1,90,0,0,1,10/07/2020 ,0,1,27/01/2020 ,full time,chua co gia dinh,0,170,60,dang bi benh,khong,khong,oto
50,FSI_51,4,2,0,0,0,70,0,1,1,07/03/2020 ,2,2,07/10/2019 ,part time,co gia dinh,0,170,60,dang bi benh,co,khong,bus
51,FSI_52,3,3,3,1,1,70,4,3,1,22/07/2020 ,0,4,19/04/2020 ,full time,chua co gia dinh,0,180,50,dang bi benh,khong,khong,bus
52,FSI_53,0,0,0,4,5,70,5,0,1,11/01/2020 ,2,3,13/01/2020 ,part time,chua co gia dinh,2,150,50,dang bi benh,co,khong,bus
53,FSI_54,1,1,2,3,4,80,2,0,3,07/08/2020 ,2,0,17/02/2020 ,full time,chua co gia dinh,0,170,40,khong bi benh,co,khong,xe may
54,FSI_55,2,4,1,1,2,70,0,1,1,13/04/2020 ,2,0,30/01/2020 ,full time,co gia dinh,1,180,60,dang bi benh,co,khong,bus
55,FSI_56,2,2,0,0,1,100,5,1,1,03/04/2020 ,1,1,07/06/2020 ,part time,co gia dinh,0,150,50,khong bi benh,co,khong,xe may
56,FSI_57,4,2,5,3,3,80,1,3,1,22/08/2020 ,0,3,24/01/2020 ,full time,chua co gia dinh,2,165,50,khong bi benh,co,co,bus
57,FSI_58,4,5,1,0,3,70,1,3,2,25/12/2019 ,1,2,05/12/2019 ,full time,chua co gia dinh,0,170,70,khong bi benh,co,khong,oto
58,FSI_59,0,3,2,3,2,100,3,2,3,17/10/2019 ,4,1,19/02/2020 ,part time,chua co gia dinh,2,170,70,dang bi benh,khong,khong,oto
59,FSI_60,1,1,0,0,2,80,5,4,1,29/08/2020 ,0,0,17/03/2020 ,part time,co gia dinh,1,175,50,khong bi benh,co,khong,xe may
60,FSI_61,4,0,1,2,3,80,0,1,1,14/10/2019 ,0,1,25/12/2019 ,part time,co gia dinh,2,180,40,dang bi benh,khong,khong,oto
61,FSI_62,2,3,1,2,1,90,1,5,1,01/01/2020 ,2,0,17/08/2020 ,nghi phep,co gia dinh,1,180,50,khong bi benh,khong,khong,bus
62,FSI_63,5,1,3,4,2,70,2,5,2,19/03/2020 ,2,3,05/05/2020 ,nghi phep,chua co gia dinh,0,150,70,khong bi benh,khong,khong,xe may
63,FSI_64,0,2,3,1,3,70,4,2,2,25/01/2020 ,0,2,09/05/2020 ,part time,co gia dinh,0,180,60,dang bi benh,khong,co,xe may
64,FSI_65,5,1,5,2,4,80,2,0,3,22/08/2020 ,0,1,23/01/2020 ,full time,chua co gia dinh,1,165,50,khong bi benh,co,khong,bus
65,FSI_66,0,0,0,2,0,70,0,5,1,20/01/2020 ,5,4,06/12/2019 ,part time,co gia dinh,2,175,60,khong bi benh,co,co,bus
66,FSI_67,5,1,0,3,0,100,5,2,1,02/01/2020 ,0,0,28/06/2020 ,full time,co gia dinh,2,150,60,khong bi benh,khong,co,oto
67,FSI_68,1,4,4,0,0,100,4,3,2,25/03/2020 ,3,1,25/02/2020 ,nghi phep,chua co gia dinh,2,180,70,khong bi benh,co,khong,bus
68,FSI_69,5,1,2,4,2,70,1,1,2,07/05/2020 ,0,0,19/12/2019 ,part time,chua co gia dinh,2,165,70,khong bi benh,co,co,oto
69,FSI_70,4,1,0,0,1,70,0,0,1,08/01/2020 ,1,5,05/08/2020 ,full time,chua co gia dinh,2,180,60,dang bi benh,khong,co,xe may
70,FSI_71,2,0,5,0,2,80,2,5,1,19/02/2020 ,0,0,17/12/2019 ,full time,co gia dinh,1,160,70,dang bi benh,co,co,oto
71,FSI_72,0,0,1,4,1,80,3,0,1,05/04/2020 ,0,0,19/03/2020 ,full time,co gia dinh,2,170,60,khong bi benh,khong,khong,xe may
72,FSI_73,0,0,0,2,4,80,4,3,1,21/06/2020 ,0,4,31/08/2020 ,full time,co gia dinh,1,150,50,dang bi benh,co,khong,oto
73,FSI_74,3,3,0,0,1,80,1,0,2,07/11/2019 ,2,0,21/07/2020 ,nghi phep,chua co gia dinh,0,175,70,khong bi benh,khong,co,xe may
74,FSI_75,3,3,0,2,4,100,2,3,3,11/08/2020 ,3,3,23/10/2019 ,nghi phep,chua co gia dinh,0,170,70,khong bi benh,co,co,xe may
75,FSI_76,0,0,0,1,3,100,0,0,1,22/11/2019 ,3,0,29/09/2019 ,part time,co gia dinh,1,160,40,khong bi benh,co,co,xe may
76,FSI_77,4,1,1,3,0,70,0,4,3,21/02/2020 ,0,1,03/06/2020 ,full time,co gia dinh,1,150,70,dang bi benh,khong,khong,xe may
77,FSI_78,5,0,2,3,1,80,2,1,2,07/03/2020 ,4,2,31/12/2019 ,nghi phep,co gia dinh,1,165,50,khong bi benh,khong,co,xe may
78,FSI_79,2,3,3,0,2,90,1,2,2,01/07/2020 ,2,1,12/08/2020 ,part time,co gia dinh,2,170,70,dang bi benh,co,khong,xe may
79,FSI_80,1,1,0,0,4,90,0,4,1,05/12/2019 ,0,5,10/09/2019 ,nghi phep,chua co gia dinh,1,165,40,dang bi benh,khong,co,bus
80,FSI_81,0,0,5,3,2,80,0,0,1,25/05/2020 ,0,1,31/12/2019 ,nghi phep,chua co gia dinh,0,180,50,dang bi benh,co,khong,xe may
81,FSI_82,4,1,4,0,0,80,2,0,2,08/06/2020 ,4,1,22/03/2020 ,part time,co gia dinh,2,175,70,dang bi benh,co,khong,xe may
82,FSI_83,1,2,0,4,0,100,0,2,1,19/05/2020 ,0,0,12/09/2019 ,part time,chua co gia dinh,0,180,70,dang bi benh,co,co,bus
83,FSI_84,1,0,1,0,3,70,4,2,2,25/06/2020 ,0,4,31/01/2020 ,part time,chua co gia dinh,3,175,60,khong bi benh,co,co,oto
84,FSI_85,0,0,0,0,2,100,5,4,1,17/08/2020 ,5,1,01/12/2019 ,part time,chua co gia dinh,1,170,50,khong bi benh,co,khong,oto
85,FSI_86,4,1,5,5,3,100,4,0,1,04/09/2020 ,3,4,21/08/2020 ,part time,co gia dinh,1,170,70,dang bi benh,co,khong,xe may
86,FSI_87,0,0,0,2,0,90,0,0,3,25/09/2019 ,1,4,07/06/2020 ,part time,chua co gia dinh,2,165,40,dang bi benh,khong,khong,oto
87,FSI_88,5,5,3,5,0,80,5,0,2,28/06/2020 ,2,0,03/05/2020 ,part time,co gia dinh,2,150,40,dang bi benh,co,co,bus
88,FSI_89,2,3,2,2,0,90,0,3,2,07/07/2020 ,1,3,13/11/2019 ,nghi phep,co gia dinh,1,160,40,dang bi benh,khong,khong,xe may
89,FSI_90,0,0,0,0,1,100,2,2,1,19/07/2020 ,5,0,30/05/2020 ,nghi phep,co gia dinh,1,150,50,dang bi benh,co,co,xe may
90,FSI_91,2,0,2,0,1,90,0,0,1,07/06/2020 ,1,1,12/03/2020 ,nghi phep,chua co gia dinh,1,150,50,dang bi benh,co,co,xe may
91,FSI_92,2,2,3,2,2,90,4,0,1,04/05/2020 ,0,3,19/03/2020 ,nghi phep,co gia dinh,2,170,40,khong bi benh,khong,khong,oto
92,FSI_93,4,3,4,4,1,80,0,2,2,20/03/2020 ,0,0,27/09/2019 ,nghi phep,chua co gia dinh,3,175,40,khong bi benh,co,khong,xe may
93,FSI_94,1,5,0,0,0,100,0,0,2,31/08/2020 ,4,5,26/04/2020 ,nghi phep,co gia dinh,1,150,40,dang bi benh,khong,co,xe may
94,FSI_95,3,0,1,3,5,90,2,4,1,04/03/2020 ,5,4,10/10/2019 ,nghi phep,chua co gia dinh,0,175,50,khong bi benh,co,khong,xe may
95,FSI_96,0,1,1,2,0,90,5,0,1,14/09/2019 ,2,5,06/06/2020 ,part time,co gia dinh,3,170,60,khong bi benh,co,khong,oto
96,FSI_97,0,2,0,4,3,90,0,5,1,15/08/2020 ,0,3,29/04/2020 ,part time,chua co gia dinh,1,160,50,khong bi benh,khong,khong,bus
97,FSI_98,5,3,2,3,4,80,1,0,2,18/05/2020 ,0,0,14/01/2020 ,nghi phep,co gia dinh,0,160,60,dang bi benh,khong,co,xe may
98,FSI_99,0,4,2,0,1,90,1,2,1,10/05/2020 ,0,1,06/08/2020 ,nghi phep,chua co gia dinh,2,150,70,khong bi benh,khong,co,oto
99,FSI_100,5,4,0,5,0,80,0,0,1,27/08/2020 ,1,5,11/05/2020 ,nghi phep,chua co gia dinh,2,170,40,dang bi benh,co,co,oto
100,FSI_101,2,4,4,2,2,100,4,0,1,16/01/2020 ,0,0,27/07/2020 ,part time,chua co gia dinh,2,180,40,khong bi benh,khong,khong,oto
101,FSI_102,0,2,3,4,0,100,0,3,2,15/07/2020 ,2,1,05/11/2019 ,full time,chua co gia dinh,0,165,40,dang bi benh,co,co,xe may
102,FSI_103,0,2,4,5,2,70,0,4,1,14/03/2020 ,0,0,16/02/2020 ,part time,chua co gia dinh,1,165,70,dang bi benh,co,khong,xe may
103,FSI_104,1,2,3,1,2,70,0,0,2,08/07/2020 ,0,1,14/01/2020 ,full time,chua co gia dinh,2,170,60,khong bi benh,co,co,bus
104,FSI_105,4,5,2,0,3,100,3,0,1,22/08/2020 ,4,2,24/08/2020 ,nghi phep,chua co gia dinh,1,160,40,dang bi benh,co,khong,xe may
105,FSI_106,4,0,4,1,5,90,5,0,1,13/02/2020 ,5,1,20/08/2020 ,full time,co gia dinh,2,165,70,dang bi benh,khong,co,xe may
106,FSI_107,1,0,3,4,3,90,2,4,1,23/04/2020 ,0,2,12/08/2020 ,part time,chua co gia dinh,0,170,60,dang bi benh,co,co,xe may
107,FSI_108,1,2,2,4,4,70,0,0,1,31/03/2020 ,5,1,24/03/2020 ,part time,co gia dinh,1,170,60,dang bi benh,co,khong,oto
108,FSI_109,1,1,2,3,3,100,2,4,1,16/06/2020 ,0,5,06/05/2020 ,part time,co gia dinh,1,170,50,dang bi benh,khong,khong,oto
109,FSI_110,1,0,5,4,2,70,4,3,2,01/08/2020 ,2,1,09/09/2019 ,full time,co gia dinh,2,160,60,dang bi benh,co,co,oto
110,FSI_111,3,2,0,0,2,70,4,1,1,14/06/2020 ,2,2,20/06/2020 ,full time,chua co gia dinh,2,160,60,khong bi benh,co,khong,xe may
111,FSI_112,2,2,0,0,5,70,4,3,2,26/06/2020 ,5,2,22/05/2020 ,part time,chua co gia dinh,2,170,40,khong bi benh,co,khong,xe may
112,FSI_113,1,0,2,4,5,90,2,4,1,15/10/2019 ,1,0,06/10/2019 ,part time,chua co gia dinh,1,165,70,khong bi benh,khong,khong,oto
113,FSI_114,2,2,0,0,4,100,4,4,3,07/10/2019 ,1,1,31/10/2019 ,full time,chua co gia dinh,1,175,40,khong bi benh,khong,khong,bus
114,FSI_115,2,5,4,0,3,80,0,4,1,10/10/2019 ,5,2,14/02/2020 ,part time,chua co gia dinh,1,175,50,dang bi benh,co,khong,xe may
115,FSI_116,4,5,0,2,5,80,4,1,1,03/01/2020 ,0,0,04/07/2020 ,part time,chua co gia dinh,1,165,40,dang bi benh,khong,co,xe may
116,FSI_117,0,2,3,4,0,90,0,0,2,26/09/2019 ,5,0,24/06/2020 ,full time,chua co gia dinh,1,180,40,dang bi benh,co,khong,oto
117,FSI_118,3,0,0,2,5,90,1,5,1,08/06/2020 ,5,1,13/11/2019 ,part time,chua co gia dinh,1,150,60,dang bi benh,co,khong,xe may
118,FSI_119,0,1,0,0,0,80,3,0,1,14/10/2019 ,4,0,04/10/2019 ,part time,chua co gia dinh,2,165,60,khong bi benh,co,khong,bus
119,FSI_120,5,0,0,1,4,90,2,0,1,05/06/2020 ,0,0,01/06/2020 ,full time,co gia dinh,0,150,40,dang bi benh,khong,khong,bus
120,FSI_121,0,3,2,5,2,70,4,2,2,09/10/2019 ,4,1,07/04/2020 ,part time,chua co gia dinh,0,175,60,dang bi benh,khong,co,xe may
121,FSI_122,0,5,3,2,0,70,5,2,2,19/08/2020 ,0,1,25/02/2020 ,full time,chua co gia dinh,2,165,50,dang bi benh,khong,co,xe may
122,FSI_123,2,5,4,0,4,70,1,4,1,02/10/2019 ,4,1,12/11/2019 ,part time,chua co gia dinh,1,180,70,khong bi benh,khong,khong,oto
123,FSI_124,0,5,0,0,1,70,3,1,1,14/12/2019 ,3,0,13/09/2019 ,part time,co gia dinh,2,175,50,khong bi benh,co,co,xe may
124,FSI_125,2,3,5,0,0,70,2,2,1,22/06/2020 ,0,5,11/05/2020 ,full time,chua co gia dinh,2,175,50,dang bi benh,khong,co,xe may
125,FSI_126,1,0,0,5,4,100,0,0,1,03/08/2020 ,1,0,13/01/2020 ,nghi phep,chua co gia dinh,1,180,40,dang bi benh,co,co,bus
126,FSI_127,2,4,4,0,0,70,5,0,1,17/07/2020 ,0,0,20/02/2020 ,full time,co gia dinh,2,150,70,dang bi benh,co,co,bus
127,FSI_128,3,4,0,2,1,90,2,3,2,14/01/2020 ,1,5,25/01/2020 ,full time,co gia dinh,3,160,60,khong bi benh,co,khong,oto
128,FSI_129,3,4,0,2,2,70,4,0,3,17/11/2019 ,4,2,05/11/2019 ,nghi phep,co gia dinh,0,180,50,khong bi benh,khong,khong,oto
129,FSI_130,1,1,2,2,3,100,0,1,2,09/02/2020 ,2,0,24/01/2020 ,part time,chua co gia dinh,1,180,40,khong bi benh,khong,khong,xe may
130,FSI_131,0,4,2,1,2,100,0,2,1,08/05/2020 ,0,2,24/08/2020 ,full time,co gia dinh,3,180,40,dang bi benh,co,khong,oto
131,FSI_132,5,2,0,0,0,70,4,0,1,18/09/2019 ,0,0,15/04/2020 ,nghi phep,co gia dinh,2,165,60,khong bi benh,co,khong,xe may
132,FSI_133,4,3,0,0,4,70,0,3,2,25/03/2020 ,5,0,17/08/2020 ,part time,chua co gia dinh,2,160,40,khong bi benh,khong,co,oto
133,FSI_134,0,5,1,3,1,90,0,3,2,07/02/2020 ,3,2,20/04/2020 ,part time,chua co gia dinh,0,170,50,dang bi benh,khong,co,bus
134,FSI_135,4,3,4,3,5,100,2,0,1,22/09/2019 ,1,0,27/04/2020 ,nghi phep,co gia dinh,0,170,60,dang bi benh,co,khong,bus
135,FSI_136,1,4,0,0,0,100,0,5,1,14/03/2020 ,0,0,22/10/2019 ,full time,co gia dinh,2,180,50,dang bi benh,khong,co,bus
136,FSI_137,2,3,5,4,3,80,0,3,1,24/05/2020 ,3,0,17/10/2019 ,full time,chua co gia dinh,3,160,40,dang bi benh,co,khong,oto
137,FSI_138,0,1,0,4,0,70,0,4,1,16/10/2019 ,0,4,25/11/2019 ,full time,chua co gia dinh,1,150,50,dang bi benh,co,khong,bus
138,FSI_139,0,2,4,4,0,80,0,0,1,23/12/2019 ,0,2,24/05/2020 ,part time,co gia dinh,1,150,60,dang bi benh,khong,khong,xe may
139,FSI_140,5,0,5,4,0,90,0,2,1,07/07/2020 ,1,2,03/07/2020 ,full time,chua co gia dinh,2,160,50,dang bi benh,khong,khong,xe may
140,FSI_141,0,1,0,4,3,80,4,0,1,06/05/2020 ,0,0,07/09/2020 ,full time,co gia dinh,2,165,60,khong bi benh,co,khong,xe may
141,FSI_142,2,5,0,0,5,90,2,0,1,06/08/2020 ,5,4,13/06/2020 ,full time,co gia dinh,2,180,60,khong bi benh,co,khong,oto
142,FSI_143,2,5,2,2,0,90,3,5,1,21/06/2020 ,2,3,07/07/2020 ,nghi phep,chua co gia dinh,1,175,40,dang bi benh,khong,co,oto
143,FSI_144,0,2,1,4,1,100,0,0,1,28/12/2019 ,2,5,29/01/2020 ,full time,chua co gia dinh,1,150,50,khong bi benh,co,khong,xe may
144,FSI_145,2,1,1,5,0,70,5,4,1,19/03/2020 ,4,1,19/11/2019 ,part time,co gia dinh,2,170,40,khong bi benh,khong,co,bus
145,FSI_146,0,1,5,0,0,100,3,5,1,11/10/2019 ,4,1,03/02/2020 ,nghi phep,chua co gia dinh,0,160,60,dang bi benh,co,co,xe may
146,FSI_147,3,5,2,0,1,100,0,2,2,12/05/2020 ,0,2,08/07/2020 ,part time,chua co gia dinh,1,175,50,khong bi benh,co,khong,oto
147,FSI_148,0,1,2,0,5,70,2,4,3,03/02/2020 ,4,0,28/04/2020 ,nghi phep,co gia dinh,0,170,70,dang bi benh,khong,khong,oto
148,FSI_149,0,1,3,0,3,90,0,2,1,21/11/2019 ,2,2,21/05/2020 ,full time,co gia dinh,0,165,70,khong bi benh,khong,co,xe may
149,FSI_150,3,3,0,0,1,70,1,0,3,20/08/2020 ,5,3,06/01/2020 ,nghi phep,chua co gia dinh,1,175,50,dang bi benh,co,khong,oto
150,FSI_151,0,5,4,5,4,70,3,2,3,06/07/2020 ,0,2,29/09/2019 ,nghi phep,chua co gia dinh,1,170,40,dang bi benh,khong,co,oto
151,FSI_152,0,3,2,0,0,90,3,0,2,02/06/2020 ,5,2,26/02/2020 ,part time,co gia dinh,1,170,40,dang bi benh,co,co,xe may
152,FSI_153,1,0,0,0,5,100,2,5,1,14/05/2020 ,0,2,07/02/2020 ,part time,co gia dinh,1,180,60,dang bi benh,khong,co,xe may
153,FSI_154,5,1,4,0,0,80,3,1,2,05/07/2020 ,0,1,29/04/2020 ,full time,co gia dinh,1,165,70,dang bi benh,co,khong,xe may
154,FSI_155,0,4,0,2,1,100,5,1,1,02/09/2020 ,2,5,23/03/2020 ,part time,co gia dinh,2,165,40,dang bi benh,khong,co,bus
155,FSI_156,1,2,0,4,0,90,5,1,3,09/09/2019 ,1,3,06/06/2020 ,nghi phep,co gia dinh,2,170,50,khong bi benh,khong,khong,bus
156,FSI_157,0,2,4,4,0,80,3,0,1,22/02/2020 ,2,0,24/01/2020 ,nghi phep,co gia dinh,1,165,70,dang bi benh,khong,khong,xe may
157,FSI_158,2,5,5,1,0,100,2,4,1,03/02/2020 ,0,3,07/08/2020 ,part time,co gia dinh,1,180,40,khong bi benh,co,khong,oto
158,FSI_159,0,1,5,1,0,90,0,2,1,22/05/2020 ,0,5,17/07/2020 ,nghi phep,co gia dinh,0,175,50,khong bi benh,co,khong,xe may
159,FSI_160,0,0,4,1,3,80,0,0,1,20/12/2019 ,5,1,14/10/2019 ,part time,co gia dinh,3,175,70,khong bi benh,khong,khong,xe may
160,FSI_161,0,2,0,0,5,100,1,0,1,04/03/2020 ,1,2,31/08/2020 ,nghi phep,chua co gia dinh,0,180,70,dang bi benh,co,co,xe may
161,FSI_162,0,0,0,5,2,90,5,2,2,28/08/2020 ,1,2,13/06/2020 ,full time,chua co gia dinh,1,180,70,dang bi benh,co,co,xe may
162,FSI_163,2,4,4,1,1,90,4,2,3,23/08/2020 ,5,0,26/09/2019 ,nghi phep,co gia dinh,1,180,70,dang bi benh,khong,khong,xe may
163,FSI_164,5,2,5,2,3,70,0,0,1,26/08/2020 ,4,5,21/12/2019 ,nghi phep,co gia dinh,1,175,40,khong bi benh,khong,khong,bus
164,FSI_165,4,3,0,3,4,70,5,1,2,19/01/2020 ,0,3,22/04/2020 ,part time,chua co gia dinh,2,175,60,khong bi benh,khong,khong,oto
