,Bang_cap,Nam_kinh_nghiem,Mang_cong_viec,Luong,Luong_cu,Thoi_gian_gan_bo,Nang_luc_work,Xep_loai_bang
52,Dai hoc,0,Lap trinh vien,34.65,33,0,D,kha
53,Khong bang cap,0,Lap trinh vien,7.35,7,2,D,Khong xep loai
54,Cao dang,16,Ky su R&D,19.95,19,9,B,Gioi
55,Khong bang cap,1,PM,23.625,22.5,1,C,Khong xep loai
56,Dai hoc,4,PM,30.45,29,3,B,Gioi
57,Cao dang,1,Lap trinh vien,10.5,10,1,A,Trung binh
58,Cao dang,1,PM,17.325,16.5,0,C,Xuat sac
59,Khong bang cap,4,Ke toan,9.45,9,5,D,Khong xep loai
60,Khong bang cap,6,Lap trinh vien,31.5,30,13,C,Khong xep loai
61,Cao dang,2,Ky su R&D,7.35,7,4,B,Trung binh
62,Cao dang,0,PM,14.7,14,0,C,Trung binh
63,Dai hoc,1,Lap trinh vien,13.65,13,2,D,kha
64,Cao dang,10,Lap trinh vien,21,20,9,D,Trung binh
65,Dai hoc,10,Lap trinh vien,16.8,16,0,B,Xuat sac
66,Khong bang cap,4,Lap trinh vien,6.3,6,1,D,Khong xep loai
67,Cao dang,22,PM,30.45,29,8,A,kha
68,Cao dang,3,Ky su R&D,12.6,12,3,B,Xuat sac
69,Cao dang,3,Tu van ban hang,12.6,12,3,A,kha
70,Dai hoc,1,Tu van ban hang,14.7,14,4,B,kha
71,Cao dang,4,Lap trinh vien,23.1,22,9,B,Gioi
72,Khong bang cap,0,Ky su R&D,12.6,12,0,A,Khong xep loai
73,Khong bang cap,0,Lap trinh vien,37.8,36,1,D,Khong xep loai
74,Khong bang cap,13,Lap trinh vien,16.8,16,4,A,Khong xep loai
75,Dai hoc,0,PM,15.75,15,0,A,kha
76,Cao dang,0,PM,22.05,21,1,D,Trung binh
77,Dai hoc,0,Tu van ban hang,7.35,7,1,A,Gioi
78,Cao dang,3,Ky su R&D,12.6,12,1,A,Trung binh
79,Dai hoc,0,Lap trinh vien,24.15,23,2,B,Trung binh
80,Dai hoc,0,Xu ly data,14.7,14,2,D,Gioi
81,Cao dang,1,BA,10.5,10,7,A,Gioi
82,Dai hoc,3,Ky su R&D,18.9,18,2,A,Gioi
83,Thac si,0,BA,28.35,27,0,A,kha
84,Dai hoc,13,Lap trinh vien,21,20,3,C,kha
85,Cao dang,2,Lap trinh vien,10.5,10,0,B,kha
86,Cao dang,0,Ky su R&D,14.175,13.5,0,B,Xuat sac
87,Dai hoc,9,PM,26.25,25,10,A,Xuat sac
88,Thac si,2,Lap trinh vien,21,20,2,A,Trung binh
89,Cao dang,1,Lap trinh vien,7.35,7,8,D,Trung binh
90,Dai hoc,0,Lap trinh vien,15.75,15,2,C,Xuat sac
91,Cao dang,4,Tu van ban hang,10.5,10,9,B,Trung binh
92,Dai hoc,2,BA,25.2,24,11,B,Gioi
93,Cao dang,12,Lap trinh vien,14.7,14,13,A,Trung binh
94,Dai hoc,0,Tester,5.25,5,0,D,Xuat sac
95,Cao dang,3,Lap trinh vien,17.85,17,0,D,Xuat sac
96,Dai hoc,17,Tu van ban hang,13.65,13,10,D,kha
97,Dai hoc,9,PM,18.9,18,7,A,Xuat sac
98,Dai hoc,0,Tester,12.6,12,0,D,kha
99,Dai hoc,2,Lap trinh vien,22.05,21,10,A,Gioi
100,Cao dang,5,Lap trinh vien,6.3,6,12,D,Trung binh
101,Dai hoc,0,Lap trinh vien,4.2,4,1,D,Gioi
102,Dai hoc,0,Tu van ban hang,7.35,7,1,A,Gioi
103,Dai hoc,3,Lap trinh vien,19.95,19,2,D,Gioi
104,Khong bang cap,4,Ke toan,9.45,9,4,B,Khong xep loai
105,Cao dang,6,Xu ly data,9.45,9,4,B,kha
106,Cao dang,11,Ky su R&D,23.1,22,8,D,Xuat sac
107,Khong bang cap,3,PM,33.075,31.5,3,B,Khong xep loai
108,Cao dang,1,Ky su R&D,13.65,13,6,C,Xuat sac
109,Cao dang,0,Tu van ban hang,9.45,9,1,D,kha
110,Khong bang cap,1,Lap trinh vien,23.1,22,2,C,Khong xep loai
111,Cao dang,1,PM,23.1,22,0,C,Gioi
112,Dai hoc,0,PM,4.2,4,0,A,kha
113,Dai hoc,1,Tester,7.35,7,1,A,Gioi
114,Dai hoc,2,PM,6.3,6,12,B,Xuat sac
115,Dai hoc,5,BA,12.6,12,0,C,Xuat sac
116,Dai hoc,3,Lap trinh vien,24.15,23,5,C,Gioi
117,Dai hoc,4,BA,19.95,19,0,A,Xuat sac
118,Cao dang,2,Lap trinh vien,15.75,15,3,B,Gioi
119,Cao dang,7,Lap trinh vien,7.35,7,4,A,Trung binh
120,Cao dang,2,Ke toan,13.65,13,1,C,Gioi
121,Thac si,21,Ky su R&D,18.9,18,11,A,kha
122,Cao dang,6,Lap trinh vien,7.35,7,7,B,Xuat sac
123,Thac si,4,Xu ly data,15.75,15,13,A,kha
124,Cao dang,9,Lap trinh vien,63,60,10,A,kha
125,Dai hoc,16,Lap trinh vien,6.3,6,9,D,Trung binh
126,Cao dang,4,PM,17.85,17,5,C,kha
127,Cao dang,24,Lap trinh vien,15.75,15,9,A,Xuat sac
128,Dai hoc,5,Tu van ban hang,10.5,10,4,C,Trung binh
129,Dai hoc,0,Lap trinh vien,11.025,10.5,0,B,Trung binh
130,Khong bang cap,1,PM,23.1,22,2,A,Khong xep loai
131,Cao dang,34,Lap trinh vien,22.05,21,1,D,Xuat sac
132,Dai hoc,5,BA,5.25,5,3,B,kha
133,Cao dang,2,PM,17.85,17,2,B,Xuat sac
134,Dai hoc,1,Ky su R&D,8.4,8,1,B,kha
135,Dai hoc,2,PM,9.45,9,1,C,Trung binh
136,Cao dang,3,Lap trinh vien,11.55,11,2,A,kha
137,Dai hoc,2,Lap trinh vien,11.55,11,2,B,Trung binh
138,Dai hoc,17,Lap trinh vien,7.35,7,11,C,kha
139,Dai hoc,5,PM,16.8,16,5,A,Trung binh
140,Cao dang,0,Lap trinh vien,17.85,17,3,B,Gioi
141,Khong bang cap,10,Lap trinh vien,12.6,12,6,C,Khong xep loai
142,Cao dang,0,Lap trinh vien,4.2,4,1,A,Trung binh
143,Cao dang,1,Lap trinh vien,4.2,4,0,A,Trung binh
144,Cao dang,12,PM,18.9,18,13,B,Trung binh
145,Cao dang,6,Tu van ban hang,5.25,5,0,C,Gioi
146,Cao dang,0,Lap trinh vien,21,20,0,B,Trung binh
147,Dai hoc,8,PM,14.7,14,3,C,Xuat sac
148,Dai hoc,6,Lap trinh vien,23.625,22.5,7,A,kha
149,Dai hoc,1,Lap trinh vien,36.225,34.5,4,B,kha
150,Dai hoc,16,Lap trinh vien,92.4,88,8,A,kha
151,Khong bang cap,1,Ky su R&D,9.45,9,2,A,Khong xep loai
152,Dai hoc,3,Ky su R&D,7.875,7.5,3,D,Trung binh
153,Cao dang,0,Tu van ban hang,11.55,11,6,A,kha
154,Cao dang,0,Lap trinh vien,14.7,14,1,C,Gioi
155,Khong bang cap,0,Lap trinh vien,16.8,16,2,A,Khong xep loai
156,Cao dang,14,Lap trinh vien,5.25,5,1,A,Xuat sac
157,Cao dang,6,PM,18.9,18,12,C,Trung binh
158,Cao dang,1,Lap trinh vien,9.45,9,9,C,Xuat sac
159,Dai hoc,1,Lap trinh vien,22.05,21,2,D,Trung binh
160,Dai hoc,0,Lap trinh vien,16.8,16,10,B,kha
161,Khong bang cap,3,Tester,10.5,10,4,C,Khong xep loai
162,Dai hoc,8,PM,33.075,31.5,3,D,Trung binh
163,Dai hoc,0,Lap trinh vien,22.05,21,0,D,Xuat sac
164,Cao dang,8,Ky su R&D,19.95,19,0,B,Xuat sac
165,Thac si,0,Lap trinh vien,28.35,27,13,A,Gioi
166,Dai hoc,0,Tu van ban hang,7.35,7,0,A,Xuat sac
167,Thac si,24,Lap trinh vien,19.95,19,8,A,Gioi
168,Cao dang,1,Lap trinh vien,4.2,4,2,B,kha
169,Dai hoc,7,Xu ly data,9.45,9,10,A,kha
170,Dai hoc,7,PM,9.45,9,2,B,Gioi
171,Khong bang cap,0,BA,19.95,19,6,C,Khong xep loai
172,Cao dang,1,BA,11.55,11,5,C,Gioi
173,Cao dang,5,Xu ly data,12.6,12,6,B,kha
174,Dai hoc,4,Lap trinh vien,16.8,16,3,C,Trung binh
175,Cao dang,3,Lap trinh vien,15.75,15,7,D,Gioi
176,Cao dang,2,Tu van ban hang,11.55,11,9,B,Xuat sac
177,Cao dang,4,Lap trinh vien,8.4,8,9,C,kha
178,Khong bang cap,12,BA,4.2,4,8,B,Khong xep loai
179,Khong bang cap,0,Lap trinh vien,24.15,23,0,A,Khong xep loai
180,Cao dang,0,Lap trinh vien,21,20,7,D,Trung binh
181,Dai hoc,20,PM,15.75,15,10,A,Xuat sac
182,Cao dang,7,BA,9.45,9,7,C,Gioi
183,Thac si,1,Lap trinh vien,16.8,16,10,A,Gioi
184,Dai hoc,0,BA,9.45,9,0,A,Trung binh
185,Dai hoc,22,Lap trinh vien,12.6,12,1,A,Xuat sac
186,Dai hoc,0,Lap trinh vien,17.85,17,4,C,Gioi
187,Cao dang,1,Lap trinh vien,21,20,6,C,Gioi
188,Cao dang,4,Lap trinh vien,22.05,21,2,B,kha
189,Cao dang,0,BA,8.4,8,1,D,Gioi
190,Cao dang,3,Ky su R&D,19.95,19,3,A,Gioi
191,Cao dang,1,Lap trinh vien,15.75,15,1,D,kha
192,Dai hoc,4,PM,22.05,21,1,C,Gioi
193,Cao dang,0,Lap trinh vien,5.25,5,0,A,Trung binh
194,Dai hoc,2,Tu van ban hang,7.35,7,1,A,Trung binh
195,Khong bang cap,2,Tu van ban hang,8.4,8,0,A,Khong xep loai
196,Khong bang cap,0,BA,19.95,19,1,D,Khong xep loai
197,Cao dang,0,Lap trinh vien,10.5,10,0,D,Trung binh
198,Thac si,0,BA,28.35,27,2,A,Gioi
199,Khong bang cap,3,Lap trinh vien,14.7,14,1,D,Khong xep loai
200,Dai hoc,13,Lap trinh vien,7.35,7,8,B,Trung binh
201,Dai hoc,0,Tester,5.25,5,0,D,Gioi
202,Thac si,0,PM,29.4,28,14,A,Trung binh
203,Cao dang,8,BA,13.65,13,5,C,Gioi
204,Dai hoc,0,Ky su R&D,10.5,10,1,C,Gioi
205,Cao dang,0,BA,23.625,22.5,1,D,Gioi
206,Cao dang,0,Lap trinh vien,4.2,4,0,B,Xuat sac
207,Cao dang,0,Ky su R&D,23.625,22.5,1,A,kha
208,Cao dang,0,Ky su R&D,18.9,18,2,A,Xuat sac
209,Khong bang cap,0,Ky su R&D,22.05,21,4,D,Khong xep loai
210,Cao dang,0,Lap trinh vien,10.5,10,1,A,Trung binh
211,Thac si,10,Lap trinh vien,18.9,18,2,A,Gioi
212,Dai hoc,0,Ke toan,6.3,6,8,B,Trung binh
213,Thac si,13,Lap trinh vien,22.05,21,0,A,Xuat sac
214,Cao dang,4,BA,6.3,6,2,C,Xuat sac
215,Khong bang cap,5,BA,28.35,27,7,B,Khong xep loai
216,Dai hoc,4,Lap trinh vien,22.05,21,7,C,kha
217,Dai hoc,3,Xu ly data,17.325,16.5,7,A,Xuat sac
218,Cao dang,7,Tu van ban hang,4.2,4,8,A,kha
219,Dai hoc,0,Ky su R&D,18.9,18,1,A,Trung binh
220,Cao dang,0,Lap trinh vien,13.65,13,0,C,kha
221,Khong bang cap,0,Ky su R&D,10.5,10,1,D,Khong xep loai
222,Dai hoc,6,Lap trinh vien,16.8,16,6,D,Gioi
223,Cao dang,2,Lap trinh vien,15.75,15,0,A,Trung binh
224,Khong bang cap,4,Lap trinh vien,5.25,5,0,A,Khong xep loai
225,Cao dang,1,Ke toan,4.2,4,3,D,kha
226,Dai hoc,1,PM,18.9,18,1,D,Xuat sac
227,Khong bang cap,1,Tu van ban hang,11.55,11,0,C,Khong xep loai
228,Khong bang cap,0,Xu ly data,5.25,5,0,B,Khong xep loai
229,Dai hoc,7,Tu van ban hang,10.5,10,0,B,kha
230,Cao dang,6,Lap trinh vien,4.2,4,2,D,Xuat sac
231,Cao dang,5,Lap trinh vien,24.15,23,11,D,kha
232,Khong bang cap,0,Lap trinh vien,19.95,19,1,D,Khong xep loai
233,Cao dang,2,Tu van ban hang,14.7,14,6,B,Gioi
234,Cao dang,13,Ke toan,9.45,9,5,C,Trung binh
235,Dai hoc,1,Lap trinh vien,25.2,24,1,C,Gioi
236,Dai hoc,2,Tu van ban hang,7.35,7,0,A,kha
237,Cao dang,0,BA,29.925,28.5,2,D,Xuat sac
238,Cao dang,12,BA,21,20,9,B,Trung binh
239,Khong bang cap,0,Tu van ban hang,6.3,6,11,D,Khong xep loai
240,Khong bang cap,0,Lap trinh vien,17.85,17,1,D,Khong xep loai
241,Dai hoc,0,PM,36.225,34.5,3,B,Xuat sac
242,Dai hoc,3,Lap trinh vien,12.6,12,8,A,Gioi
243,Dai hoc,2,Lap trinh vien,14.7,14,0,B,Trung binh
244,Dai hoc,0,Lap trinh vien,9.45,9,2,A,Xuat sac
245,Dai hoc,0,BA,9.45,9,0,C,Xuat sac
246,Dai hoc,10,Tu van ban hang,12.6,12,4,A,Xuat sac
247,Khong bang cap,6,Lap trinh vien,15.75,15,11,D,Khong xep loai
248,Dai hoc,5,Lap trinh vien,7.35,7,6,B,Trung binh
249,Dai hoc,3,Ky su R&D,7.35,7,0,A,Trung binh
250,Cao dang,8,Lap trinh vien,17.85,17,0,D,kha
251,Khong bang cap,2,Tu van ban hang,8.4,8,0,D,Khong xep loai
252,Dai hoc,5,Lap trinh vien,8.4,8,4,C,Gioi
253,Cao dang,3,Lap trinh vien,15.75,15,1,B,Gioi
254,Cao dang,1,Lap trinh vien,25.2,24,0,B,Xuat sac
255,Dai hoc,7,Lap trinh vien,5.25,5,8,B,Xuat sac
256,Khong bang cap,0,Lap trinh vien,10.5,10,2,D,Khong xep loai
257,Dai hoc,1,Ke toan,18.9,18,0,D,Xuat sac
258,Dai hoc,3,BA,19.95,19,5,B,Gioi
259,Cao dang,1,Tu van ban hang,14.7,14,1,B,Trung binh
260,Thac si,0,PM,29.4,28,1,A,Xuat sac
261,Khong bang cap,1,BA,5.25,5,4,A,Khong xep loai
262,Cao dang,1,BA,13.65,13,4,D,Trung binh
263,Khong bang cap,1,Lap trinh vien,24.15,23,2,A,Khong xep loai
264,Cao dang,1,Tu van ban hang,8.4,8,1,C,Gioi
265,Dai hoc,13,PM,19.95,19,10,C,kha
266,Dai hoc,8,Tester,14.175,13.5,7,A,kha
267,Cao dang,11,PM,26.25,25,5,B,kha
268,Dai hoc,3,Lap trinh vien,13.65,13,0,D,Gioi
269,Dai hoc,2,Lap trinh vien,10.5,10,4,C,Gioi
270,Thac si,1,Lap trinh vien,15.75,15,2,A,kha
271,Cao dang,1,Ky su R&D,15.75,15,2,C,kha
272,Khong bang cap,1,Lap trinh vien,25.2,24,1,D,Khong xep loai
273,Dai hoc,4,Lap trinh vien,14.7,14,1,D,Trung binh
274,Dai hoc,2,Lap trinh vien,7.35,7,7,A,kha
275,Dai hoc,2,BA,15.75,15,5,C,Gioi
276,Dai hoc,24,Lap trinh vien,7.35,7,2,B,Xuat sac
277,Dai hoc,4,Lap trinh vien,18.9,18,3,B,Trung binh
278,Dai hoc,3,Lap trinh vien,12.6,12,4,C,kha
279,Dai hoc,0,BA,25.2,24,1,C,Gioi
280,Thac si,5,PM,44.1,42,4,A,Xuat sac
281,Cao dang,5,Lap trinh vien,17.325,16.5,5,C,kha
282,Dai hoc,3,Ky su R&D,12.6,12,0,D,kha
283,Cao dang,0,Ky su R&D,16.8,16,2,A,Xuat sac
284,Dai hoc,10,Tu van ban hang,14.7,14,11,A,Gioi
285,Cao dang,0,Lap trinh vien,14.7,14,12,B,Gioi
286,Dai hoc,1,Lap trinh vien,23.1,22,1,B,Xuat sac
287,Cao dang,3,Lap trinh vien,11.025,10.5,6,D,Trung binh
288,Cao dang,0,Ky su R&D,21,20,1,A,Gioi
289,Khong bang cap,12,Tu van ban hang,5.25,5,7,A,Khong xep loai
290,Cao dang,5,BA,16.8,16,8,A,Trung binh
291,Cao dang,21,PM,6.3,6,9,B,kha
292,Thac si,3,PM,23.1,22,5,A,Gioi
293,Dai hoc,3,Lap trinh vien,15.75,15,2,A,Gioi
294,Cao dang,4,Tu van ban hang,12.6,12,1,D,Trung binh
295,Thac si,0,Lap trinh vien,26.775,25.5,1,A,kha
296,Dai hoc,3,Ky su R&D,13.65,13,3,B,Trung binh
297,Cao dang,3,Ky su R&D,23.625,22.5,9,D,kha
298,Dai hoc,0,Lap trinh vien,8.4,8,1,B,Trung binh
299,Cao dang,28,Lap trinh vien,18.9,18,7,B,Gioi
300,Dai hoc,0,BA,10.5,10,0,A,Xuat sac
301,Cao dang,0,Lap trinh vien,7.35,7,1,B,kha
302,Dai hoc,5,Lap trinh vien,23.1,22,1,C,Trung binh
303,Cao dang,0,Ky su R&D,6.3,6,1,A,Xuat sac
304,Thac si,0,Lap trinh vien,21,20,4,A,Trung binh
305,Cao dang,4,Lap trinh vien,24.15,23,2,B,Trung binh
306,Dai hoc,0,Ky su R&D,22.05,21,1,D,kha
307,Dai hoc,8,PM,37.8,36,9,B,kha
308,Dai hoc,0,Lap trinh vien,14.7,14,0,D,Xuat sac
309,Khong bang cap,1,BA,28.35,27,1,A,Khong xep loai
310,Khong bang cap,0,Lap trinh vien,13.65,13,1,D,Khong xep loai
311,Cao dang,0,Lap trinh vien,21,20,1,A,Xuat sac
312,Cao dang,8,Ky su R&D,17.325,16.5,6,C,Xuat sac
313,Dai hoc,7,Lap trinh vien,8.4,8,7,C,Xuat sac
314,Dai hoc,0,Tu van ban hang,10.5,10,1,B,kha
315,Cao dang,3,Tu van ban hang,4.2,4,1,B,kha
316,Cao dang,4,Lap trinh vien,15.75,15,3,B,Trung binh
317,Dai hoc,6,PM,28.35,27,5,C,Gioi
318,Cao dang,9,Lap trinh vien,17.85,17,8,B,Trung binh
319,Dai hoc,7,Ke toan,4.2,4,1,D,Trung binh
320,Khong bang cap,1,PM,29.925,28.5,6,D,Khong xep loai
321,Dai hoc,2,Tu van ban hang,11.55,11,0,C,Trung binh
322,Khong bang cap,0,Lap trinh vien,17.325,16.5,0,D,Khong xep loai
323,Cao dang,3,Lap trinh vien,16.8,16,5,A,Trung binh
324,Dai hoc,1,Ky su R&D,11.55,11,1,A,kha
325,Dai hoc,1,Lap trinh vien,16.8,16,3,B,Trung binh
326,Dai hoc,0,BA,25.2,24,1,C,Xuat sac
327,Dai hoc,1,Lap trinh vien,18.9,18,2,B,Xuat sac
328,Cao dang,6,Tu van ban hang,4.2,4,6,B,Xuat sac
329,Cao dang,5,BA,15.75,15,9,D,Gioi
330,Dai hoc,0,Tu van ban hang,11.55,11,1,A,Trung binh
331,Khong bang cap,0,Ky su R&D,22.05,21,0,B,Khong xep loai
332,Dai hoc,4,Xu ly data,6.3,6,1,C,Xuat sac
333,Cao dang,8,Tu van ban hang,4.2,4,0,C,Gioi
334,Cao dang,2,PM,17.85,17,3,D,Trung binh
335,Cao dang,11,Lap trinh vien,9.45,9,1,B,kha
336,Cao dang,1,Lap trinh vien,25.2,24,9,D,kha
337,Khong bang cap,1,BA,9.45,9,2,C,Khong xep loai
338,Dai hoc,1,PM,8.4,8,1,B,Xuat sac
339,Dai hoc,9,Xu ly data,6.3,6,9,B,Gioi
340,Cao dang,15,Lap trinh vien,21,20,11,A,Xuat sac
341,Cao dang,0,Lap trinh vien,24.15,23,0,B,kha
342,Dai hoc,0,Lap trinh vien,23.625,22.5,2,D,Trung binh
343,Dai hoc,4,Lap trinh vien,9.45,9,1,C,Trung binh
344,Cao dang,3,Lap trinh vien,25.2,24,8,B,Xuat sac
345,Cao dang,19,Lap trinh vien,19.95,19,1,B,Gioi
346,Dai hoc,6,Lap trinh vien,16.8,16,10,B,Trung binh
347,Cao dang,8,Tu van ban hang,20.475,19.5,6,A,Gioi
348,Cao dang,7,PM,24.15,23,14,C,kha
349,Dai hoc,0,BA,15.75,15,1,B,Gioi
350,Khong bang cap,3,PM,18.9,18,10,C,Khong xep loai
351,Cao dang,0,Lap trinh vien,11.55,11,1,C,Gioi
352,Cao dang,25,Lap trinh vien,17.85,17,7,D,Gioi
353,Cao dang,1,Lap trinh vien,15.75,15,0,D,Trung binh
354,Dai hoc,3,PM,13.65,13,8,A,Trung binh
355,Dai hoc,2,Lap trinh vien,19.95,19,0,B,Trung binh
356,Khong bang cap,4,Lap trinh vien,15.75,15,0,A,Khong xep loai
357,Cao dang,4,Ky su R&D,5.25,5,2,D,kha
358,Cao dang,3,Lap trinh vien,24.15,23,5,C,Trung binh
359,Dai hoc,1,Ke toan,10.5,10,3,C,Trung binh
360,Cao dang,0,Ky su R&D,24.15,23,1,A,kha
361,Cao dang,1,Xu ly data,5.25,5,3,B,Xuat sac
362,Khong bang cap,0,Lap trinh vien,18.9,18,9,D,Khong xep loai
363,Cao dang,5,Lap trinh vien,25.2,24,6,C,Gioi
364,Khong bang cap,8,Ky su R&D,7.35,7,8,A,Khong xep loai
365,Dai hoc,0,Lap trinh vien,11.025,10.5,1,D,Gioi
366,Dai hoc,0,Tu van ban hang,7.35,7,1,A,Xuat sac
367,Khong bang cap,0,Tester,7.875,7.5,1,A,Khong xep loai
368,Tien si,16,Ky su R&D,25.2,24,12,A,Khong xep loai
369,Dai hoc,2,Ky su R&D,15.75,15,9,B,Trung binh
370,Cao dang,7,Lap trinh vien,18.9,18,6,D,Xuat sac
371,Khong bang cap,6,Lap trinh vien,24.15,23,0,D,Khong xep loai
372,Cao dang,6,Tu van ban hang,12.6,12,1,D,Gioi
373,Cao dang,7,Ky su R&D,28.35,27,3,A,Gioi
374,Khong bang cap,3,BA,21,20,9,C,Khong xep loai
375,Tien si,7,Ky su R&D,25.2,24,14,A,Khong xep loai
376,Cao dang,6,Lap trinh vien,12.6,12,5,A,Gioi
377,Cao dang,0,Lap trinh vien,9.45,9,1,A,Gioi
378,Cao dang,13,Lap trinh vien,10.5,10,1,A,Gioi
379,Cao dang,0,Lap trinh vien,4.2,4,0,C,kha
380,Dai hoc,4,Lap trinh vien,15.75,15,1,D,Xuat sac
381,Thac si,3,Lap trinh vien,17.85,17,6,A,Gioi
382,Cao dang,0,Lap trinh vien,21,20,1,B,Gioi
383,Cao dang,7,BA,16.8,16,8,B,Trung binh
384,Dai hoc,0,Tu van ban hang,7.35,7,1,C,Gioi
385,Khong bang cap,1,BA,16.8,16,1,D,Khong xep loai
386,Cao dang,2,PM,26.25,25,1,B,Xuat sac
387,Dai hoc,2,Lap trinh vien,23.1,22,5,D,Xuat sac
388,Khong bang cap,7,Lap trinh vien,28.35,27,6,D,Khong xep loai
389,Dai hoc,0,PM,23.625,22.5,0,A,Xuat sac
390,Dai hoc,0,PM,19.95,19,6,D,Gioi
391,Cao dang,2,PM,4.2,4,1,C,kha
392,Dai hoc,9,Lap trinh vien,21,20,13,D,Trung binh
393,Khong bang cap,1,Ke toan,17.325,16.5,1,C,Khong xep loai
394,Cao dang,10,BA,17.85,17,1,B,kha
395,Dai hoc,2,Lap trinh vien,17.85,17,1,A,kha
396,Cao dang,6,Lap trinh vien,23.1,22,9,B,kha
397,Cao dang,9,BA,23.1,22,7,D,Xuat sac
398,Thac si,3,Tu van ban hang,15.75,15,4,A,Trung binh
399,Khong bang cap,6,Lap trinh vien,19.95,19,6,D,Khong xep loai
400,Dai hoc,5,Tu van ban hang,4.2,4,8,B,Xuat sac
401,Cao dang,5,Ky su R&D,15.75,15,9,A,kha
402,Cao dang,4,Lap trinh vien,22.05,21,0,B,Gioi
403,Khong bang cap,0,Tu van ban hang,7.875,7.5,0,A,Khong xep loai
404,Cao dang,1,Tu van ban hang,12.6,12,2,B,Gioi
405,Khong bang cap,5,Ky su R&D,12.6,12,4,C,Khong xep loai
406,Cao dang,2,Lap trinh vien,8.4,8,2,B,kha
407,Cao dang,0,PM,6.3,6,1,C,Xuat sac
408,Khong bang cap,1,Lap trinh vien,21,20,0,B,Khong xep loai
409,Cao dang,12,Ky su R&D,8.4,8,2,D,Xuat sac
410,Thac si,0,Lap trinh vien,25.2,24,3,B,kha
