,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
20,FSI_21,0,0,3,0,1,90,0,1,2,05/03/2020 ,5,5,22/09/2019 ,nghi phep,co gia dinh,1,150,60,dang bi benh,co,co,oto
21,FSI_22,2,1,0,5,4,90,2,4,1,28/05/2020 ,1,0,20/07/2020 ,part time,chua co gia dinh,1,150,50,khong bi benh,co,khong,bus
22,FSI_23,5,2,0,0,0,80,5,5,3,25/06/2020 ,4,0,04/07/2020 ,part time,co gia dinh,3,180,70,khong bi benh,co,co,xe may
23,FSI_24,4,0,5,2,5,100,0,5,1,15/06/2020 ,5,1,01/09/2020 ,nghi phep,co gia dinh,0,180,60,khong bi benh,co,khong,xe may
24,FSI_25,4,5,1,3,1,70,3,4,1,01/10/2019 ,2,0,08/07/2020 ,nghi phep,co gia dinh,2,165,60,dang bi benh,co,khong,oto
25,FSI_26,0,1,2,5,2,80,0,3,1,06/01/2020 ,0,0,08/12/2019 ,part time,co gia dinh,1,170,60,dang bi benh,co,co,xe may
26,FSI_27,4,3,1,3,2,80,3,5,3,01/12/2019 ,2,1,31/12/2019 ,full time,co gia dinh,1,170,70,dang bi benh,co,khong,oto
27,FSI_28,2,3,1,0,0,100,5,3,1,01/10/2019 ,0,2,24/10/2019 ,part time,co gia dinh,1,175,60,dang bi benh,co,khong,oto
28,FSI_29,0,2,0,0,0,80,0,2,2,19/11/2019 ,3,2,17/07/2020 ,full time,co gia dinh,1,150,70,khong bi benh,co,khong,xe may
29,FSI_30,5,1,5,2,2,80,2,5,1,12/05/2020 ,1,4,05/10/2019 ,part time,co gia dinh,0,180,50,khong bi benh,co,co,xe may
30,FSI_31,0,1,5,3,2,100,3,0,1,02/03/2020 ,1,3,18/08/2020 ,full time,chua co gia dinh,2,160,40,dang bi benh,khong,khong,bus
31,FSI_32,0,1,2,0,5,80,4,2,2,14/06/2020 ,0,0,24/04/2020 ,full time,chua co gia dinh,1,170,40,dang bi benh,co,khong,xe may
32,FSI_33,0,3,0,1,1,80,3,3,2,22/02/2020 ,5,0,05/01/2020 ,part time,chua co gia dinh,0,170,50,khong bi benh,co,khong,xe may
33,FSI_34,1,3,0,1,4,80,1,0,1,07/07/2020 ,2,0,12/06/2020 ,nghi phep,co gia dinh,0,170,50,khong bi benh,co,khong,xe may
34,FSI_35,1,1,3,2,2,90,0,0,3,27/03/2020 ,0,2,21/11/2019 ,nghi phep,co gia dinh,1,175,40,khong bi benh,khong,co,xe may
35,FSI_36,2,4,0,2,1,90,2,4,1,21/09/2019 ,0,3,19/03/2020 ,nghi phep,chua co gia dinh,1,150,70,dang bi benh,co,co,xe may
36,FSI_37,1,3,0,4,1,80,0,2,1,17/04/2020 ,2,1,26/01/2020 ,nghi phep,co gia dinh,1,175,60,dang bi benh,khong,khong,xe may
37,FSI_38,2,0,3,3,5,90,2,0,2,27/06/2020 ,5,5,30/12/2019 ,full time,chua co gia dinh,3,180,60,dang bi benh,khong,co,bus
38,FSI_39,5,2,1,2,0,70,2,4,1,27/09/2019 ,3,0,05/01/2020 ,full time,co gia dinh,0,165,50,dang bi benh,co,khong,oto
39,FSI_40,0,3,3,4,5,80,0,2,1,26/11/2019 ,1,0,27/04/2020 ,part time,co gia dinh,2,170,50,khong bi benh,co,co,xe may
40,FSI_41,0,0,0,0,5,90,3,0,3,08/05/2020 ,2,1,01/08/2020 ,nghi phep,chua co gia dinh,0,170,40,dang bi benh,khong,co,xe may
41,FSI_42,1,0,3,2,1,100,2,3,1,01/06/2020 ,1,0,19/08/2020 ,part time,co gia dinh,1,165,50,dang bi benh,khong,co,xe may
42,FSI_43,5,0,2,0,3,100,0,0,1,18/10/2019 ,5,0,19/04/2020 ,part time,co gia dinh,0,160,60,dang bi benh,co,khong,oto
43,FSI_44,4,0,1,0,4,80,3,0,2,11/12/2019 ,2,0,15/01/2020 ,full time,co gia dinh,1,175,60,dang bi benh,khong,co,oto
44,FSI_45,5,1,0,3,0,90,0,0,3,25/01/2020 ,0,2,24/09/2019 ,full time,chua co gia dinh,0,160,70,khong bi benh,co,khong,xe may
45,FSI_46,2,0,3,4,0,70,0,2,3,14/08/2020 ,0,0,19/01/2020 ,full time,chua co gia dinh,2,175,60,dang bi benh,co,co,xe may
46,FSI_47,0,0,0,4,0,70,0,1,1,03/03/2020 ,0,0,18/03/2020 ,nghi phep,co gia dinh,1,170,50,khong bi benh,co,khong,xe may
47,FSI_48,0,2,4,1,1,80,4,0,3,07/08/2020 ,5,4,24/05/2020 ,full time,co gia dinh,2,170,40,dang bi benh,co,co,xe may
48,FSI_49,1,0,1,2,0,80,4,3,1,10/08/2020 ,0,0,24/06/2020 ,full time,chua co gia dinh,0,150,60,dang bi benh,co,co,xe may
49,FSI_50,5,0,0,0,2,80,3,2,1,01/11/2019 ,3,2,28/05/2020 ,full time,co gia dinh,1,170,70,khong bi benh,khong,co,bus
50,FSI_51,0,0,2,3,0,100,1,1,2,27/08/2020 ,0,4,29/12/2019 ,full time,chua co gia dinh,1,160,40,dang bi benh,khong,khong,xe may
51,FSI_52,1,1,2,0,1,100,0,3,3,25/01/2020 ,4,0,31/08/2020 ,full time,co gia dinh,3,150,60,dang bi benh,khong,khong,oto
52,FSI_53,0,0,3,1,3,100,3,0,1,30/09/2019 ,4,1,20/04/2020 ,part time,chua co gia dinh,2,165,60,khong bi benh,khong,co,xe may
53,FSI_54,3,1,0,0,0,90,3,2,2,22/03/2020 ,3,4,01/07/2020 ,part time,co gia dinh,1,170,70,khong bi benh,khong,co,bus
54,FSI_55,2,1,3,0,3,80,0,1,1,30/08/2020 ,5,1,22/10/2019 ,nghi phep,chua co gia dinh,1,175,40,dang bi benh,khong,khong,xe may
55,FSI_56,2,2,2,0,2,90,0,4,1,18/08/2020 ,3,2,03/12/2019 ,full time,co gia dinh,1,165,50,dang bi benh,co,khong,xe may
56,FSI_57,5,3,0,1,5,90,4,1,1,21/09/2019 ,2,2,27/05/2020 ,part time,chua co gia dinh,0,165,70,khong bi benh,co,co,xe may
57,FSI_58,2,3,2,2,1,90,1,0,1,05/07/2020 ,1,5,28/11/2019 ,full time,co gia dinh,1,160,60,khong bi benh,khong,co,xe may
58,FSI_59,0,2,3,5,3,80,1,0,1,05/02/2020 ,3,0,06/06/2020 ,full time,co gia dinh,2,175,40,dang bi benh,co,khong,oto
59,FSI_60,4,1,2,5,4,70,5,1,1,23/01/2020 ,2,1,03/02/2020 ,part time,co gia dinh,1,170,60,dang bi benh,khong,khong,bus
60,FSI_61,0,2,5,3,5,100,0,5,1,22/03/2020 ,2,0,23/03/2020 ,part time,chua co gia dinh,2,165,60,khong bi benh,khong,khong,oto
61,FSI_62,2,0,2,1,0,90,3,0,1,18/04/2020 ,2,0,03/10/2019 ,full time,chua co gia dinh,2,175,40,khong bi benh,khong,khong,xe may
62,FSI_63,0,0,1,2,3,70,2,0,2,11/09/2019 ,3,5,15/10/2019 ,part time,chua co gia dinh,0,150,60,khong bi benh,khong,khong,xe may
63,FSI_64,4,0,2,0,3,100,4,0,3,17/08/2020 ,0,2,12/09/2019 ,full time,chua co gia dinh,1,180,40,dang bi benh,co,khong,bus
64,FSI_65,0,3,3,4,2,90,4,4,2,06/07/2020 ,2,4,25/01/2020 ,full time,chua co gia dinh,0,165,60,khong bi benh,co,khong,xe may
65,FSI_66,2,0,2,0,0,90,5,0,1,12/03/2020 ,2,4,04/11/2019 ,nghi phep,co gia dinh,2,150,60,dang bi benh,khong,co,xe may
66,FSI_67,0,1,1,4,4,100,5,5,1,06/11/2019 ,2,0,23/03/2020 ,full time,chua co gia dinh,1,170,60,khong bi benh,co,co,oto
67,FSI_68,0,0,0,0,2,100,4,0,1,15/09/2019 ,1,2,25/03/2020 ,part time,chua co gia dinh,3,165,50,khong bi benh,khong,khong,bus
68,FSI_69,2,2,4,0,3,90,0,3,1,05/06/2020 ,5,2,24/07/2020 ,part time,co gia dinh,1,165,60,dang bi benh,co,khong,bus
69,FSI_70,0,5,2,0,0,80,1,2,1,18/01/2020 ,5,1,01/03/2020 ,full time,co gia dinh,1,180,40,khong bi benh,co,khong,oto
70,FSI_71,3,4,0,2,0,70,5,2,3,05/12/2019 ,1,1,05/02/2020 ,nghi phep,chua co gia dinh,2,180,40,dang bi benh,co,co,xe may
71,FSI_72,0,5,0,0,0,80,0,2,1,10/03/2020 ,2,2,04/06/2020 ,full time,co gia dinh,1,160,70,khong bi benh,co,co,bus
72,FSI_73,1,3,5,2,3,100,2,4,1,22/11/2019 ,5,0,11/12/2019 ,nghi phep,co gia dinh,0,160,60,khong bi benh,co,khong,bus
73,FSI_74,5,2,2,1,2,70,4,0,1,16/10/2019 ,1,0,30/11/2019 ,part time,chua co gia dinh,2,180,70,khong bi benh,co,khong,xe may
74,FSI_75,0,0,2,1,0,70,4,1,1,12/05/2020 ,5,1,11/05/2020 ,nghi phep,chua co gia dinh,2,175,70,dang bi benh,co,khong,xe may
75,FSI_76,3,1,1,5,1,80,0,2,2,20/10/2019 ,0,2,02/03/2020 ,full time,chua co gia dinh,0,170,60,khong bi benh,co,co,bus
76,FSI_77,2,5,4,3,3,100,5,2,1,18/09/2019 ,0,1,12/07/2020 ,nghi phep,chua co gia dinh,2,180,40,dang bi benh,khong,khong,bus
77,FSI_78,5,0,1,0,2,100,3,1,2,14/12/2019 ,5,3,06/11/2019 ,part time,co gia dinh,0,180,50,dang bi benh,co,co,oto
78,FSI_79,5,1,1,4,2,90,1,3,1,29/12/2019 ,0,2,05/06/2020 ,nghi phep,chua co gia dinh,2,175,70,khong bi benh,khong,co,bus
79,FSI_80,1,5,2,3,4,100,2,3,1,14/12/2019 ,2,1,13/12/2019 ,nghi phep,co gia dinh,0,180,50,dang bi benh,co,co,xe may
80,FSI_81,0,1,1,1,1,80,4,2,1,29/06/2020 ,2,5,01/02/2020 ,nghi phep,co gia dinh,1,150,50,khong bi benh,khong,co,xe may
81,FSI_82,0,1,0,5,3,80,4,4,3,05/11/2019 ,2,2,06/09/2020 ,part time,co gia dinh,0,160,50,khong bi benh,khong,khong,xe may
82,FSI_83,3,0,0,2,4,80,3,5,2,21/11/2019 ,1,2,26/05/2020 ,part time,co gia dinh,0,160,50,khong bi benh,khong,khong,xe may
83,FSI_84,0,1,1,0,0,100,2,5,1,24/10/2019 ,4,5,24/12/2019 ,full time,co gia dinh,2,150,70,khong bi benh,khong,co,xe may
84,FSI_85,5,0,2,0,5,90,1,0,3,15/03/2020 ,2,1,05/04/2020 ,full time,chua co gia dinh,2,165,50,khong bi benh,khong,co,xe may
85,FSI_86,2,3,2,1,0,70,3,5,1,24/06/2020 ,1,0,27/08/2020 ,part time,chua co gia dinh,1,150,40,khong bi benh,khong,co,oto
86,FSI_87,1,3,2,0,3,80,0,3,1,11/09/2019 ,5,5,10/09/2019 ,nghi phep,co gia dinh,1,180,60,khong bi benh,khong,khong,oto
87,FSI_88,0,0,4,2,1,70,0,0,1,24/03/2020 ,0,0,02/10/2019 ,full time,chua co gia dinh,0,160,50,khong bi benh,co,khong,xe may
88,FSI_89,0,2,1,3,2,100,0,5,2,28/01/2020 ,0,0,12/09/2019 ,full time,chua co gia dinh,2,150,50,khong bi benh,khong,co,xe may
89,FSI_90,5,2,2,2,3,70,0,0,3,05/08/2020 ,3,2,23/11/2019 ,part time,chua co gia dinh,0,180,70,khong bi benh,khong,khong,xe may
90,FSI_91,0,0,1,4,4,100,4,0,3,24/03/2020 ,0,0,12/04/2020 ,full time,co gia dinh,1,175,50,khong bi benh,co,khong,xe may
91,FSI_92,1,4,1,1,4,80,4,1,2,22/03/2020 ,0,0,21/12/2019 ,full time,co gia dinh,2,170,40,dang bi benh,co,khong,xe may
92,FSI_93,0,2,0,3,0,90,4,1,1,28/01/2020 ,0,0,19/04/2020 ,full time,co gia dinh,1,165,40,khong bi benh,khong,khong,xe may
93,FSI_94,4,1,4,0,3,100,2,2,3,15/12/2019 ,5,4,02/02/2020 ,nghi phep,co gia dinh,1,150,60,khong bi benh,khong,khong,xe may
94,FSI_95,0,3,0,0,2,80,0,0,1,19/03/2020 ,4,0,19/08/2020 ,nghi phep,co gia dinh,1,165,60,khong bi benh,khong,khong,xe may
95,FSI_96,5,2,0,3,1,90,4,1,1,02/12/2019 ,0,0,25/03/2020 ,part time,chua co gia dinh,3,175,70,khong bi benh,co,co,xe may
96,FSI_97,3,2,4,1,2,100,1,2,2,01/11/2019 ,2,0,26/01/2020 ,part time,chua co gia dinh,0,160,70,dang bi benh,khong,khong,xe may
97,FSI_98,2,4,0,1,3,100,5,5,3,18/04/2020 ,4,1,09/03/2020 ,full time,chua co gia dinh,1,175,70,khong bi benh,co,co,oto
98,FSI_99,2,4,0,0,4,100,3,2,1,27/09/2019 ,3,1,04/12/2019 ,nghi phep,co gia dinh,2,165,60,khong bi benh,co,co,xe may
99,FSI_100,5,2,1,3,1,80,5,3,1,21/03/2020 ,4,0,27/09/2019 ,nghi phep,chua co gia dinh,2,150,50,dang bi benh,khong,co,xe may
100,FSI_101,5,1,2,4,2,100,5,0,1,03/11/2019 ,2,0,04/03/2020 ,nghi phep,chua co gia dinh,0,175,70,khong bi benh,co,co,xe may
101,FSI_102,3,2,1,1,5,90,1,2,1,03/12/2019 ,3,2,18/06/2020 ,full time,co gia dinh,1,180,50,khong bi benh,khong,khong,xe may
102,FSI_103,5,3,2,2,2,70,0,0,1,25/06/2020 ,1,4,10/02/2020 ,nghi phep,co gia dinh,1,150,70,khong bi benh,co,khong,xe may
103,FSI_104,3,0,2,2,2,100,5,1,1,23/10/2019 ,0,0,05/12/2019 ,nghi phep,co gia dinh,2,175,50,dang bi benh,khong,khong,bus
104,FSI_105,2,2,2,2,4,100,1,2,1,27/10/2019 ,0,0,08/12/2019 ,full time,co gia dinh,0,180,40,dang bi benh,co,co,xe may
105,FSI_106,2,0,0,0,4,90,2,0,2,03/09/2020 ,2,0,19/12/2019 ,part time,co gia dinh,1,175,50,dang bi benh,co,co,xe may
106,FSI_107,3,2,5,0,0,100,1,5,3,23/05/2020 ,4,1,05/03/2020 ,part time,chua co gia dinh,1,160,70,dang bi benh,co,khong,xe may
107,FSI_108,0,5,0,0,1,80,0,1,1,15/07/2020 ,0,1,17/12/2019 ,part time,chua co gia dinh,2,160,60,dang bi benh,khong,khong,oto
108,FSI_109,3,0,2,4,0,100,1,4,3,31/05/2020 ,1,2,12/06/2020 ,nghi phep,chua co gia dinh,1,175,40,khong bi benh,khong,khong,xe may
109,FSI_110,0,1,0,0,0,90,5,3,1,28/12/2019 ,0,4,05/04/2020 ,part time,co gia dinh,0,150,50,dang bi benh,co,khong,oto
110,FSI_111,0,0,3,0,1,80,2,2,2,31/10/2019 ,0,0,28/03/2020 ,full time,co gia dinh,1,165,70,dang bi benh,co,khong,oto
111,FSI_112,3,4,3,3,0,90,1,1,1,25/05/2020 ,0,0,27/08/2020 ,part time,co gia dinh,2,180,40,khong bi benh,khong,khong,bus
112,FSI_113,3,0,3,4,0,70,1,1,1,24/06/2020 ,1,1,29/11/2019 ,nghi phep,chua co gia dinh,2,150,50,dang bi benh,co,co,xe may
113,FSI_114,4,0,4,2,1,100,2,3,1,15/06/2020 ,3,5,15/08/2020 ,part time,co gia dinh,2,165,60,dang bi benh,co,co,xe may
114,FSI_115,5,5,5,1,0,70,3,2,2,24/11/2019 ,2,0,08/09/2019 ,full time,co gia dinh,2,150,50,dang bi benh,co,co,xe may
115,FSI_116,4,1,0,2,0,90,0,0,1,20/03/2020 ,1,2,24/07/2020 ,part time,co gia dinh,2,160,50,dang bi benh,khong,khong,oto
116,FSI_117,3,0,3,2,3,80,1,3,2,09/09/2019 ,5,4,28/06/2020 ,nghi phep,chua co gia dinh,1,175,40,khong bi benh,khong,co,xe may
117,FSI_118,2,2,4,1,3,90,1,2,1,23/05/2020 ,1,5,24/08/2020 ,nghi phep,chua co gia dinh,2,165,40,dang bi benh,khong,khong,xe may
118,FSI_119,1,1,0,1,1,90,0,4,1,10/02/2020 ,2,4,13/12/2019 ,nghi phep,co gia dinh,1,165,50,khong bi benh,co,co,bus
119,FSI_120,2,2,1,2,3,100,1,2,2,25/09/2019 ,2,3,01/03/2020 ,nghi phep,chua co gia dinh,2,180,40,dang bi benh,co,co,xe may
120,FSI_121,0,3,4,4,0,90,1,0,1,14/03/2020 ,2,0,28/11/2019 ,part time,chua co gia dinh,0,175,60,khong bi benh,khong,co,xe may
121,FSI_122,0,2,3,5,1,100,0,1,3,13/01/2020 ,1,0,20/10/2019 ,nghi phep,co gia dinh,3,180,40,dang bi benh,co,co,xe may
122,FSI_123,1,5,5,0,3,80,5,1,1,25/12/2019 ,0,1,04/12/2019 ,part time,chua co gia dinh,2,165,40,dang bi benh,khong,khong,xe may
123,FSI_124,1,4,3,0,1,90,3,5,1,04/04/2020 ,2,0,15/11/2019 ,full time,chua co gia dinh,1,170,40,khong bi benh,co,co,xe may
124,FSI_125,3,0,3,0,4,90,2,4,3,19/06/2020 ,0,4,23/07/2020 ,nghi phep,co gia dinh,2,180,40,dang bi benh,khong,khong,xe may
125,FSI_126,1,0,2,0,4,80,1,0,2,10/02/2020 ,2,0,20/04/2020 ,part time,chua co gia dinh,0,175,40,dang bi benh,co,co,xe may
126,FSI_127,2,0,0,4,3,100,2,5,1,15/07/2020 ,1,5,12/04/2020 ,nghi phep,co gia dinh,2,180,50,dang bi benh,khong,co,xe may
127,FSI_128,2,0,0,1,2,70,1,0,2,22/09/2019 ,3,4,20/11/2019 ,part time,chua co gia dinh,1,150,40,khong bi benh,khong,co,xe may
128,FSI_129,0,0,1,1,0,90,0,0,1,12/06/2020 ,0,0,17/11/2019 ,part time,co gia dinh,0,165,70,dang bi benh,co,co,xe may
129,FSI_130,4,2,1,1,2,90,0,1,1,13/06/2020 ,0,0,04/11/2019 ,nghi phep,chua co gia dinh,2,165,60,dang bi benh,co,co,xe may
130,FSI_131,1,0,5,1,4,70,0,0,3,02/04/2020 ,1,1,23/09/2019 ,part time,chua co gia dinh,0,160,50,khong bi benh,co,co,xe may
131,FSI_132,2,2,5,2,5,70,0,1,3,31/10/2019 ,4,0,16/03/2020 ,part time,co gia dinh,0,160,60,khong bi benh,khong,khong,xe may
132,FSI_133,0,2,1,0,2,90,2,4,2,11/12/2019 ,5,0,11/09/2019 ,full time,co gia dinh,2,175,40,khong bi benh,co,co,xe may
133,FSI_134,4,0,5,0,1,90,4,1,3,08/02/2020 ,1,2,30/01/2020 ,full time,co gia dinh,1,170,60,dang bi benh,co,khong,xe may
134,FSI_135,0,2,3,0,0,100,0,3,2,12/10/2019 ,0,4,11/04/2020 ,full time,co gia dinh,2,160,60,dang bi benh,khong,khong,oto
135,FSI_136,0,1,4,1,4,70,0,1,1,26/04/2020 ,1,0,31/03/2020 ,part time,co gia dinh,0,160,70,dang bi benh,khong,khong,xe may
136,FSI_137,0,5,0,0,5,70,1,1,2,24/02/2020 ,0,1,21/06/2020 ,part time,co gia dinh,1,170,50,dang bi benh,khong,co,xe may
137,FSI_138,1,0,0,3,4,70,0,0,3,29/07/2020 ,1,1,22/12/2019 ,part time,co gia dinh,0,170,40,khong bi benh,co,co,xe may
138,FSI_139,4,2,4,3,1,90,2,3,2,21/12/2019 ,0,1,30/10/2019 ,nghi phep,co gia dinh,2,175,40,khong bi benh,khong,co,bus
139,FSI_140,2,0,4,0,0,70,0,1,2,07/09/2020 ,0,0,21/08/2020 ,nghi phep,chua co gia dinh,2,165,70,khong bi benh,khong,co,bus
140,FSI_141,2,1,2,0,5,100,5,1,1,07/11/2019 ,0,3,28/10/2019 ,part time,co gia dinh,2,150,60,dang bi benh,co,khong,xe may
141,FSI_142,5,1,1,0,4,80,4,0,1,07/02/2020 ,4,3,18/07/2020 ,full time,co gia dinh,1,170,60,khong bi benh,co,co,oto
142,FSI_143,1,2,4,3,1,100,2,1,2,14/01/2020 ,1,3,14/07/2020 ,full time,co gia dinh,1,165,60,khong bi benh,co,khong,oto
143,FSI_144,0,2,0,3,5,80,2,4,1,29/05/2020 ,3,1,25/09/2019 ,nghi phep,co gia dinh,1,175,40,khong bi benh,khong,khong,xe may
144,FSI_145,0,5,3,3,1,80,2,0,1,04/12/2019 ,2,1,29/02/2020 ,full time,co gia dinh,0,175,40,khong bi benh,co,co,xe may
145,FSI_146,2,0,4,5,5,90,0,0,1,20/02/2020 ,0,0,04/01/2020 ,full time,chua co gia dinh,1,150,50,khong bi benh,co,khong,xe may
146,FSI_147,5,3,1,0,3,100,5,2,2,21/09/2019 ,1,5,14/05/2020 ,part time,chua co gia dinh,1,160,70,khong bi benh,khong,co,xe may
147,FSI_148,1,1,5,4,1,100,1,2,3,20/01/2020 ,2,0,02/02/2020 ,full time,co gia dinh,2,180,70,dang bi benh,khong,co,xe may
148,FSI_149,5,2,1,1,2,100,1,0,1,21/04/2020 ,3,5,05/04/2020 ,full time,co gia dinh,0,165,60,khong bi benh,co,co,oto
149,FSI_150,2,2,1,3,3,100,0,0,1,19/07/2020 ,0,0,14/05/2020 ,part time,chua co gia dinh,0,150,60,khong bi benh,khong,co,oto
150,FSI_151,1,0,1,1,0,100,3,4,1,19/02/2020 ,3,0,25/07/2020 ,full time,chua co gia dinh,2,160,70,dang bi benh,co,khong,xe may
151,FSI_152,0,1,4,3,3,100,0,3,2,05/06/2020 ,3,5,25/04/2020 ,full time,co gia dinh,1,160,60,khong bi benh,khong,khong,xe may
152,FSI_153,5,5,0,2,1,70,0,0,1,03/02/2020 ,2,0,22/01/2020 ,part time,co gia dinh,2,175,70,dang bi benh,co,khong,xe may
153,FSI_154,4,1,0,4,0,100,0,4,2,18/06/2020 ,4,1,20/06/2020 ,nghi phep,co gia dinh,2,170,50,dang bi benh,co,co,xe may
154,FSI_155,0,5,3,0,5,80,1,1,1,18/04/2020 ,1,1,13/03/2020 ,part time,co gia dinh,2,180,50,khong bi benh,co,co,xe may
155,FSI_156,5,0,0,4,2,100,5,0,1,15/04/2020 ,1,1,11/04/2020 ,part time,co gia dinh,2,170,70,khong bi benh,khong,khong,oto
156,FSI_157,2,0,0,1,0,70,2,4,1,11/01/2020 ,1,1,27/07/2020 ,part time,chua co gia dinh,2,180,70,dang bi benh,co,khong,xe may
157,FSI_158,2,5,0,4,0,90,5,1,2,26/07/2020 ,4,1,11/08/2020 ,part time,co gia dinh,2,160,50,dang bi benh,khong,khong,xe may
158,FSI_159,3,1,0,1,0,80,0,1,1,06/07/2020 ,2,3,09/07/2020 ,full time,chua co gia dinh,2,175,40,dang bi benh,khong,co,xe may
159,FSI_160,2,2,4,3,2,100,2,0,1,24/07/2020 ,0,1,10/09/2019 ,full time,co gia dinh,0,150,60,dang bi benh,co,co,xe may
160,FSI_161,0,0,1,0,1,90,5,1,2,28/03/2020 ,0,4,05/05/2020 ,nghi phep,co gia dinh,0,180,50,khong bi benh,co,khong,oto
161,FSI_162,5,0,2,3,0,100,1,5,1,01/05/2020 ,5,0,29/11/2019 ,nghi phep,chua co gia dinh,3,165,60,khong bi benh,co,khong,bus
162,FSI_163,0,2,2,0,0,90,1,1,2,11/09/2019 ,2,0,20/08/2020 ,part time,chua co gia dinh,1,165,50,khong bi benh,khong,co,oto
163,FSI_164,2,1,2,1,1,100,2,1,1,24/10/2019 ,2,0,17/08/2020 ,nghi phep,chua co gia dinh,1,160,60,khong bi benh,khong,khong,oto
164,FSI_165,5,1,0,2,0,80,2,1,1,15/03/2020 ,2,3,25/03/2020 ,nghi phep,co gia dinh,0,180,60,khong bi benh,khong,khong,xe may
165,FSI_166,1,5,3,0,0,70,4,0,3,15/04/2020 ,2,5,19/11/2019 ,part time,chua co gia dinh,2,160,70,khong bi benh,khong,khong,bus
